[arm_control] arm=control steps=18000 batch=8 base_lr=1e-05 lamda_sisnr=1.0 bn_frozen=22
[arm_control] step 1/18000 loss_se=0.4872 pres=0.0000 lr=1.00e-05 t=1s
[arm_control] step 200/18000 loss_se=0.5774 pres=0.0000 lr=1.00e-05 t=22s
[arm_control] step 400/18000 loss_se=-0.8212 pres=0.0000 lr=1.00e-05 t=43s
[arm_control] step 600/18000 loss_se=-0.1813 pres=0.0000 lr=1.00e-05 t=65s
[arm_control] step 800/18000 loss_se=-0.1412 pres=0.0000 lr=1.00e-05 t=86s
[arm_control] step 1000/18000 loss_se=-0.6019 pres=0.0000 lr=1.00e-05 t=108s
[arm_control] step 1200/18000 loss_se=-1.0771 pres=0.0000 lr=1.00e-05 t=130s
[arm_control] step 1400/18000 loss_se=-0.6491 pres=0.0000 lr=1.00e-05 t=151s
[arm_control] step 1600/18000 loss_se=-0.1338 pres=0.0000 lr=1.00e-05 t=173s
[arm_control] step 1800/18000 loss_se=0.3798 pres=0.0000 lr=1.00e-05 t=196s
[arm_control] step 2000/18000 loss_se=0.3571 pres=0.0000 lr=1.00e-05 t=217s
[arm_control] *** VAL step 2000: SE-loss=0.3098 SI-SDR=18.04dB
[arm_control] step 2200/18000 loss_se=-0.8395 pres=0.0000 lr=1.00e-05 t=240s
[arm_control] step 2400/18000 loss_se=0.1294 pres=0.0000 lr=1.00e-05 t=262s
[arm_control] step 2600/18000 loss_se=-0.1073 pres=0.0000 lr=1.00e-05 t=283s
[arm_control] step 2800/18000 loss_se=-0.1948 pres=0.0000 lr=1.00e-05 t=305s
[arm_control] step 3000/18000 loss_se=-0.4805 pres=0.0000 lr=1.00e-05 t=327s
[arm_control] step 3200/18000 loss_se=0.4327 pres=0.0000 lr=1.00e-05 t=349s
[arm_control] step 3400/18000 loss_se=-0.6335 pres=0.0000 lr=1.00e-05 t=370s
[arm_control] step 3600/18000 loss_se=-0.5580 pres=0.0000 lr=1.00e-05 t=392s
[arm_control] step 3800/18000 loss_se=0.0112 pres=0.0000 lr=1.00e-05 t=413s
[arm_control] step 4000/18000 loss_se=-0.0466 pres=0.0000 lr=1.00e-05 t=434s
[arm_control] *** VAL step 4000: SE-loss=0.2725 SI-SDR=18.28dB
[arm_control] step 4200/18000 loss_se=0.1665 pres=0.0000 lr=1.00e-05 t=457s
[arm_control] step 4400/18000 loss_se=-0.8332 pres=0.0000 lr=1.00e-05 t=478s
[arm_control] step 4600/18000 loss_se=-1.6449 pres=0.0000 lr=1.00e-05 t=499s
[arm_control] step 4800/18000 loss_se=-0.4923 pres=0.0000 lr=1.00e-05 t=520s
[arm_control] step 5000/18000 loss_se=-1.2669 pres=0.0000 lr=1.00e-05 t=541s
[arm_control] step 5200/18000 loss_se=-0.3155 pres=0.0000 lr=1.00e-05 t=562s
