[arm_lr_sched] arm=lr_sched steps=18000 batch=8 base_lr=1e-05 lamda_sisnr=1.0 bn_frozen=22
[arm_lr_sched] step 1/18000 loss_se=0.4872 pres=0.0000 lr=1.02e-06 t=1s
[arm_lr_sched] step 200/18000 loss_se=0.8651 pres=0.0000 lr=4.60e-06 t=22s
[arm_lr_sched] step 400/18000 loss_se=-0.7160 pres=0.0000 lr=8.20e-06 t=44s
[arm_lr_sched] step 600/18000 loss_se=-0.1553 pres=0.0000 lr=1.00e-05 t=66s
[arm_lr_sched] step 800/18000 loss_se=-0.1117 pres=0.0000 lr=9.99e-06 t=87s
[arm_lr_sched] step 1000/18000 loss_se=-0.5947 pres=0.0000 lr=9.98e-06 t=109s
[arm_lr_sched] step 1200/18000 loss_se=-1.0646 pres=0.0000 lr=9.96e-06 t=130s
[arm_lr_sched] step 1400/18000 loss_se=-0.6397 pres=0.0000 lr=9.94e-06 t=152s
[arm_lr_sched] step 1600/18000 loss_se=-0.1267 pres=0.0000 lr=9.91e-06 t=173s
[arm_lr_sched] step 1800/18000 loss_se=0.3858 pres=0.0000 lr=9.88e-06 t=195s
[arm_lr_sched] step 2000/18000 loss_se=0.3617 pres=0.0000 lr=9.84e-06 t=217s
[arm_lr_sched] *** VAL step 2000: SE-loss=0.3177 SI-SDR=17.98dB
[arm_lr_sched] step 2200/18000 loss_se=-0.8170 pres=0.0000 lr=9.79e-06 t=239s
[arm_lr_sched] step 2400/18000 loss_se=0.1451 pres=0.0000 lr=9.74e-06 t=260s
[arm_lr_sched] step 2600/18000 loss_se=-0.1057 pres=0.0000 lr=9.68e-06 t=282s
[arm_lr_sched] step 2800/18000 loss_se=-0.1953 pres=0.0000 lr=9.62e-06 t=304s
[arm_lr_sched] step 3000/18000 loss_se=-0.4799 pres=0.0000 lr=9.55e-06 t=325s
[arm_lr_sched] step 3200/18000 loss_se=0.4370 pres=0.0000 lr=9.48e-06 t=347s
[arm_lr_sched] step 3400/18000 loss_se=-0.6294 pres=0.0000 lr=9.40e-06 t=369s
[arm_lr_sched] step 3600/18000 loss_se=-0.5522 pres=0.0000 lr=9.32e-06 t=390s
[arm_lr_sched] step 3800/18000 loss_se=0.0135 pres=0.0000 lr=9.23e-06 t=412s
[arm_lr_sched] step 4000/18000 loss_se=-0.0458 pres=0.0000 lr=9.14e-06 t=433s
[arm_lr_sched] *** VAL step 4000: SE-loss=0.2766 SI-SDR=18.25dB
[arm_lr_sched] step 4200/18000 loss_se=0.1701 pres=0.0000 lr=9.04e-06 t=455s
[arm_lr_sched] step 4400/18000 loss_se=-0.8300 pres=0.0000 lr=8.94e-06 t=476s
[arm_lr_sched] step 4600/18000 loss_se=-1.6433 pres=0.0000 lr=8.84e-06 t=497s
[arm_lr_sched] step 4800/18000 loss_se=-0.4884 pres=0.0000 lr=8.72e-06 t=518s
[arm_lr_sched] step 5000/18000 loss_se=-1.2635 pres=0.0000 lr=8.61e-06 t=539s
[arm_lr_sched] step 5200/18000 loss_se=-0.3124 pres=0.0000 lr=8.49e-06 t=560s
[arm_lr_sched] step 5400/18000 loss_se=0.5349 pres=0.0000 lr=8.37e-06 t=581s
[arm_lr_sched] step 5600/18000 loss_se=0.6895 pres=0.0000 lr=8.24e-06 t=602s
[arm_lr_sched] step 5800/18000 loss_se=-0.4815 pres=0.0000 lr=8.11e-06 t=623s
[arm_lr_sched] step 6000/18000 loss_se=0.3676 pres=0.0000 lr=7.98e-06 t=644s
[arm_lr_sched] *** VAL step 6000: SE-loss=0.2588 SI-SDR=18.35dB
[arm_lr_sched] step 6200/18000 loss_se=-0.3949 pres=0.0000 lr=7.84e-06 t=666s
[arm_lr_sched] step 6400/18000 loss_se=-0.6194 pres=0.0000 lr=7.70e-06 t=688s
[arm_lr_sched] step 6600/18000 loss_se=0.3573 pres=0.0000 lr=7.56e-06 t=709s
[arm_lr_sched] step 6800/18000 loss_se=1.5413 pres=0.0000 lr=7.42e-06 t=730s
[arm_lr_sched] step 7000/18000 loss_se=-0.5214 pres=0.0000 lr=7.27e-06 t=751s
[arm_lr_sched] step 7200/18000 loss_se=0.3460 pres=0.0000 lr=7.12e-06 t=772s
[arm_lr_sched] step 7400/18000 loss_se=0.5721 pres=0.0000 lr=6.97e-06 t=793s
[arm_lr_sched] step 7600/18000 loss_se=-0.8583 pres=0.0000 lr=6.81e-06 t=814s
[arm_lr_sched] step 7800/18000 loss_se=-0.0143 pres=0.0000 lr=6.66e-06 t=835s
[arm_lr_sched] step 8000/18000 loss_se=-0.8153 pres=0.0000 lr=6.50e-06 t=856s
[arm_lr_sched] *** VAL step 8000: SE-loss=0.2522 SI-SDR=18.39dB
[arm_lr_sched] step 8200/18000 loss_se=0.2165 pres=0.0000 lr=6.34e-06 t=878s
[arm_lr_sched] step 8400/18000 loss_se=1.2640 pres=0.0000 lr=6.18e-06 t=899s
[arm_lr_sched] step 8600/18000 loss_se=-0.4090 pres=0.0000 lr=6.02e-06 t=920s
[arm_lr_sched] step 8800/18000 loss_se=0.1299 pres=0.0000 lr=5.86e-06 t=941s
[arm_lr_sched] step 9000/18000 loss_se=-0.4943 pres=0.0000 lr=5.70e-06 t=962s
[arm_lr_sched] step 9200/18000 loss_se=0.2391 pres=0.0000 lr=5.54e-06 t=983s
[arm_lr_sched] step 9400/18000 loss_se=-0.1224 pres=0.0000 lr=5.38e-06 t=1004s
[arm_lr_sched] step 9600/18000 loss_se=0.0106 pres=0.0000 lr=5.22e-06 t=1024s
[arm_lr_sched] step 9800/18000 loss_se=-0.4192 pres=0.0000 lr=5.06e-06 t=1045s
[arm_lr_sched] step 10000/18000 loss_se=1.9258 pres=0.0000 lr=4.90e-06 t=1067s
[arm_lr_sched] *** VAL step 10000: SE-loss=0.2480 SI-SDR=18.41dB
[arm_lr_sched] step 10200/18000 loss_se=-0.6452 pres=0.0000 lr=4.74e-06 t=1089s
[arm_lr_sched] step 10400/18000 loss_se=-0.3257 pres=0.0000 lr=4.58e-06 t=1111s
[arm_lr_sched] step 10600/18000 loss_se=-0.7109 pres=0.0000 lr=4.42e-06 t=1132s
[arm_lr_sched] step 10800/18000 loss_se=-0.3286 pres=0.0000 lr=4.26e-06 t=1153s
[arm_lr_sched] step 11000/18000 loss_se=0.2630 pres=0.0000 lr=4.11e-06 t=1173s
[arm_lr_sched] step 11200/18000 loss_se=-0.3645 pres=0.0000 lr=3.96e-06 t=1194s
[arm_lr_sched] step 11400/18000 loss_se=0.0430 pres=0.0000 lr=3.81e-06 t=1216s
[arm_lr_sched] step 11600/18000 loss_se=0.5547 pres=0.0000 lr=3.66e-06 t=1237s
[arm_lr_sched] step 11800/18000 loss_se=-0.9475 pres=0.0000 lr=3.51e-06 t=1258s
[arm_lr_sched] step 12000/18000 loss_se=-0.4276 pres=0.0000 lr=3.37e-06 t=1278s
[arm_lr_sched] *** VAL step 12000: SE-loss=0.2451 SI-SDR=18.42dB
[arm_lr_sched] step 12200/18000 loss_se=-0.8786 pres=0.0000 lr=3.23e-06 t=1301s
[arm_lr_sched] step 12400/18000 loss_se=0.3828 pres=0.0000 lr=3.09e-06 t=1322s
[arm_lr_sched] step 12600/18000 loss_se=0.5826 pres=0.0000 lr=2.95e-06 t=1343s
[arm_lr_sched] step 12800/18000 loss_se=0.6346 pres=0.0000 lr=2.82e-06 t=1364s
[arm_lr_sched] step 13000/18000 loss_se=-0.4856 pres=0.0000 lr=2.69e-06 t=1385s
