[arm_preserve] arm=preserve steps=18000 batch=8 base_lr=1e-05 lamda_sisnr=0.3 bn_frozen=22
/content/ulunas-robot-proxy-poc/SEtrain_adapted/train_arm.py:150: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  "loss_se": l_se.item(), "loss_pres": float(l_pres),
[arm_preserve] step 1/18000 loss_se=1.5386 pres=0.0044 lr=1.00e-05 t=1s
[arm_preserve] step 200/18000 loss_se=1.6952 pres=0.0044 lr=1.00e-05 t=23s
[arm_preserve] step 400/18000 loss_se=0.6670 pres=0.0028 lr=1.00e-05 t=46s
[arm_preserve] step 600/18000 loss_se=0.8819 pres=0.0031 lr=1.00e-05 t=68s
[arm_preserve] step 800/18000 loss_se=1.2459 pres=0.0043 lr=1.00e-05 t=90s
[arm_preserve] step 1000/18000 loss_se=0.7263 pres=0.0030 lr=1.00e-05 t=112s
[arm_preserve] step 1200/18000 loss_se=0.4307 pres=0.0031 lr=1.00e-05 t=134s
[arm_preserve] step 1400/18000 loss_se=0.7603 pres=0.0028 lr=1.00e-05 t=156s
[arm_preserve] step 1600/18000 loss_se=1.0960 pres=0.0041 lr=1.00e-05 t=178s
[arm_preserve] step 1800/18000 loss_se=1.5229 pres=0.0051 lr=1.00e-05 t=200s
[arm_preserve] step 2000/18000 loss_se=1.5355 pres=0.0043 lr=1.00e-05 t=222s
[arm_preserve] *** VAL step 2000: SE-loss=1.5826 SI-SDR=17.82dB
[arm_preserve] step 2200/18000 loss_se=0.7215 pres=0.0029 lr=1.00e-05 t=245s
[arm_preserve] step 2400/18000 loss_se=1.3982 pres=0.0047 lr=1.00e-05 t=268s
[arm_preserve] step 2600/18000 loss_se=1.1034 pres=0.0035 lr=1.00e-05 t=290s
[arm_preserve] step 2800/18000 loss_se=1.0555 pres=0.0037 lr=1.00e-05 t=312s
[arm_preserve] step 3000/18000 loss_se=0.8188 pres=0.0028 lr=1.00e-05 t=335s
[arm_preserve] step 3200/18000 loss_se=1.6373 pres=0.0058 lr=1.00e-05 t=358s
[arm_preserve] step 3400/18000 loss_se=0.8168 pres=0.0029 lr=1.00e-05 t=381s
[arm_preserve] step 3600/18000 loss_se=0.7511 pres=0.0028 lr=1.00e-05 t=402s
[arm_preserve] step 3800/18000 loss_se=1.3737 pres=0.0038 lr=1.00e-05 t=424s
[arm_preserve] step 4000/18000 loss_se=1.1240 pres=0.0035 lr=1.00e-05 t=444s
[arm_preserve] *** VAL step 4000: SE-loss=1.5570 SI-SDR=18.11dB
[arm_preserve] step 4200/18000 loss_se=1.3751 pres=0.0042 lr=1.00e-05 t=467s
[arm_preserve] step 4400/18000 loss_se=0.5542 pres=0.0025 lr=1.00e-05 t=489s
[arm_preserve] step 4600/18000 loss_se=0.2303 pres=0.0020 lr=1.00e-05 t=510s
[arm_preserve] step 4800/18000 loss_se=0.8929 pres=0.0033 lr=1.00e-05 t=532s
[arm_preserve] step 5000/18000 loss_se=0.3369 pres=0.0023 lr=1.00e-05 t=554s
[arm_preserve] step 5200/18000 loss_se=1.1232 pres=0.0036 lr=1.00e-05 t=575s
[arm_preserve] step 5400/18000 loss_se=1.7036 pres=0.0050 lr=1.00e-05 t=597s
[arm_preserve] step 5600/18000 loss_se=1.9018 pres=0.0057 lr=1.00e-05 t=618s
[arm_preserve] step 5800/18000 loss_se=1.0803 pres=0.0033 lr=1.00e-05 t=640s
[arm_preserve] step 6000/18000 loss_se=1.4811 pres=0.0043 lr=1.00e-05 t=661s
[arm_preserve] *** VAL step 6000: SE-loss=1.5473 SI-SDR=18.24dB
[arm_preserve] step 6200/18000 loss_se=0.9418 pres=0.0031 lr=1.00e-05 t=684s
[arm_preserve] step 6400/18000 loss_se=0.7802 pres=0.0026 lr=1.00e-05 t=706s
[arm_preserve] step 6600/18000 loss_se=1.5641 pres=0.0051 lr=1.00e-05 t=727s
[arm_preserve] step 6800/18000 loss_se=2.5075 pres=0.0068 lr=1.00e-05 t=748s
[arm_preserve] step 7000/18000 loss_se=0.7583 pres=0.0032 lr=1.00e-05 t=770s
[arm_preserve] step 7200/18000 loss_se=1.4896 pres=0.0045 lr=1.00e-05 t=791s
[arm_preserve] step 7400/18000 loss_se=1.7043 pres=0.0056 lr=1.00e-05 t=814s
[arm_preserve] step 7600/18000 loss_se=0.5724 pres=0.0027 lr=1.00e-05 t=835s
[arm_preserve] step 7800/18000 loss_se=1.3854 pres=0.0042 lr=1.00e-05 t=856s
[arm_preserve] step 8000/18000 loss_se=0.4177 pres=0.0020 lr=1.00e-05 t=878s
[arm_preserve] *** VAL step 8000: SE-loss=1.5447 SI-SDR=18.30dB
[arm_preserve] step 8200/18000 loss_se=1.3477 pres=0.0042 lr=1.00e-05 t=901s
[arm_preserve] step 8400/18000 loss_se=2.1264 pres=0.0057 lr=1.00e-05 t=922s
[arm_preserve] step 8600/18000 loss_se=0.7862 pres=0.0028 lr=1.00e-05 t=944s
[arm_preserve] step 8800/18000 loss_se=1.2745 pres=0.0048 lr=1.00e-05 t=966s
[arm_preserve] step 9000/18000 loss_se=0.8708 pres=0.0027 lr=1.00e-05 t=987s
[arm_preserve] step 9200/18000 loss_se=1.3601 pres=0.0037 lr=1.00e-05 t=1009s
