[arm_snr_curriculum] arm=snr_curriculum steps=18000 batch=8 base_lr=1e-05 lamda_sisnr=1.0 bn_frozen=22
[arm_snr_curriculum] step 1/18000 loss_se=-0.2190 pres=0.0000 lr=1.00e-05 t=1s
[arm_snr_curriculum] step 200/18000 loss_se=-0.4975 pres=0.0000 lr=1.00e-05 t=23s
[arm_snr_curriculum] step 400/18000 loss_se=-1.4720 pres=0.0000 lr=1.00e-05 t=44s
[arm_snr_curriculum] step 600/18000 loss_se=-0.8469 pres=0.0000 lr=1.00e-05 t=67s
[arm_snr_curriculum] step 800/18000 loss_se=-0.9379 pres=0.0000 lr=1.00e-05 t=88s
[arm_snr_curriculum] step 1000/18000 loss_se=-1.1117 pres=0.0000 lr=1.00e-05 t=111s
[arm_snr_curriculum] step 1200/18000 loss_se=-1.4917 pres=0.0000 lr=1.00e-05 t=132s
[arm_snr_curriculum] step 1400/18000 loss_se=-1.3094 pres=0.0000 lr=1.00e-05 t=154s
[arm_snr_curriculum] step 1600/18000 loss_se=-0.8381 pres=0.0000 lr=1.00e-05 t=176s
[arm_snr_curriculum] step 1800/18000 loss_se=-0.4983 pres=0.0000 lr=1.00e-05 t=198s
[arm_snr_curriculum] step 2000/18000 loss_se=-0.6355 pres=0.0000 lr=1.00e-05 t=220s
[arm_snr_curriculum] *** VAL step 2000: SE-loss=0.3127 SI-SDR=18.11dB
[arm_snr_curriculum] step 2200/18000 loss_se=-1.4834 pres=0.0000 lr=1.00e-05 t=243s
[arm_snr_curriculum] step 2400/18000 loss_se=-0.6834 pres=0.0000 lr=1.00e-05 t=265s
[arm_snr_curriculum] step 2600/18000 loss_se=-0.9723 pres=0.0000 lr=1.00e-05 t=286s
[arm_snr_curriculum] step 2800/18000 loss_se=-1.0794 pres=0.0000 lr=1.00e-05 t=308s
[arm_snr_curriculum] step 3000/18000 loss_se=-1.2798 pres=0.0000 lr=1.00e-05 t=330s
[arm_snr_curriculum] step 3200/18000 loss_se=-0.4976 pres=0.0000 lr=1.00e-05 t=352s
[arm_snr_curriculum] step 3400/18000 loss_se=-1.2327 pres=0.0000 lr=1.00e-05 t=374s
[arm_snr_curriculum] step 3600/18000 loss_se=-0.9443 pres=0.0000 lr=1.00e-05 t=396s
[arm_snr_curriculum] step 3800/18000 loss_se=-0.5823 pres=0.0000 lr=1.00e-05 t=417s
[arm_snr_curriculum] step 4000/18000 loss_se=-0.7662 pres=0.0000 lr=1.00e-05 t=438s
[arm_snr_curriculum] *** VAL step 4000: SE-loss=0.2842 SI-SDR=18.27dB
[arm_snr_curriculum] step 4200/18000 loss_se=-0.6994 pres=0.0000 lr=1.00e-05 t=460s
[arm_snr_curriculum] step 4400/18000 loss_se=-1.5129 pres=0.0000 lr=1.00e-05 t=482s
[arm_snr_curriculum] step 4600/18000 loss_se=-2.1077 pres=0.0000 lr=1.00e-05 t=502s
[arm_snr_curriculum] step 4800/18000 loss_se=-1.1276 pres=0.0000 lr=1.00e-05 t=524s
[arm_snr_curriculum] step 5000/18000 loss_se=-1.6284 pres=0.0000 lr=1.00e-05 t=545s
[arm_snr_curriculum] step 5200/18000 loss_se=-1.1475 pres=0.0000 lr=1.00e-05 t=566s
[arm_snr_curriculum] step 5400/18000 loss_se=-0.5802 pres=0.0000 lr=1.00e-05 t=587s
[arm_snr_curriculum] step 5600/18000 loss_se=-0.3061 pres=0.0000 lr=1.00e-05 t=608s
[arm_snr_curriculum] step 5800/18000 loss_se=-1.3022 pres=0.0000 lr=1.00e-05 t=629s
[arm_snr_curriculum] step 6000/18000 loss_se=-0.5635 pres=0.0000 lr=1.00e-05 t=650s
[arm_snr_curriculum] *** VAL step 6000: SE-loss=0.2755 SI-SDR=18.32dB
[arm_snr_curriculum] SNR curriculum switch -> [-5,15] at step 6001
[arm_snr_curriculum] step 6200/18000 loss_se=0.4268 pres=0.0000 lr=1.00e-05 t=673s
[arm_snr_curriculum] step 6400/18000 loss_se=-0.9793 pres=0.0000 lr=1.00e-05 t=694s
[arm_snr_curriculum] step 6600/18000 loss_se=-0.4480 pres=0.0000 lr=1.00e-05 t=716s
[arm_snr_curriculum] step 6800/18000 loss_se=-0.2263 pres=0.0000 lr=1.00e-05 t=738s
[arm_snr_curriculum] step 7000/18000 loss_se=-0.6688 pres=0.0000 lr=1.00e-05 t=760s
[arm_snr_curriculum] step 7200/18000 loss_se=-1.1811 pres=0.0000 lr=1.00e-05 t=781s
[arm_snr_curriculum] step 7400/18000 loss_se=-0.7079 pres=0.0000 lr=1.00e-05 t=802s
[arm_snr_curriculum] step 7600/18000 loss_se=-0.2167 pres=0.0000 lr=1.00e-05 t=824s
[arm_snr_curriculum] step 7800/18000 loss_se=0.3204 pres=0.0000 lr=1.00e-05 t=845s
[arm_snr_curriculum] step 8000/18000 loss_se=0.2155 pres=0.0000 lr=1.00e-05 t=866s
[arm_snr_curriculum] *** VAL step 8000: SE-loss=0.2493 SI-SDR=18.41dB
[arm_snr_curriculum] step 8200/18000 loss_se=-0.9291 pres=0.0000 lr=1.00e-05 t=888s
[arm_snr_curriculum] step 8400/18000 loss_se=0.0130 pres=0.0000 lr=1.00e-05 t=910s
[arm_snr_curriculum] step 8600/18000 loss_se=-0.1356 pres=0.0000 lr=1.00e-05 t=931s
[arm_snr_curriculum] step 8800/18000 loss_se=-0.2339 pres=0.0000 lr=1.00e-05 t=952s
[arm_snr_curriculum] step 9000/18000 loss_se=-0.4943 pres=0.0000 lr=1.00e-05 t=973s
[arm_snr_curriculum] step 9200/18000 loss_se=0.3758 pres=0.0000 lr=1.00e-05 t=995s
[arm_snr_curriculum] step 9400/18000 loss_se=-0.6813 pres=0.0000 lr=1.00e-05 t=1016s
[arm_snr_curriculum] step 9600/18000 loss_se=-0.6110 pres=0.0000 lr=1.00e-05 t=1038s
[arm_snr_curriculum] step 9800/18000 loss_se=-0.0265 pres=0.0000 lr=1.00e-05 t=1059s
[arm_snr_curriculum] step 10000/18000 loss_se=-0.0670 pres=0.0000 lr=1.00e-05 t=1082s
[arm_snr_curriculum] *** VAL step 10000: SE-loss=0.2407 SI-SDR=18.46dB
